term	rank_other	rank_category
appetizer	435	484
crowded	116	202
seated	808	489
matter	789	903
street	620	265
friend	377	227
maybe	325	380
surprisingly	806	847
sweet potato	912	985
feeling	587	814
great food	246	145
and	230	307
tasted	499	471
outstanding	498	593
can	126	83
tacos	459	179
modern	376	620
flavorful	805	546
locations	1034	863
comfortable	694	808
sit	232	224
tastes	936	516
spicy	935	254
tables	316	280
service always	804	1028
pork belly	1033	1075
seen	190	688
seem	497	761
saw	693	855
sat	1032	925
nights	151	427
place	2	3
dishes	283	121
burgers	240	103
able	437	509
waffles	282	887
mix	835	559
they re	495	382
sandwiches	759	178
which	803	870
interior	692	833
honestly	691	832
korean	933	950
even	57	55
good beer	473	733
sure	123	96
multiple	987	1045
food amazing	650	671
though	77	73
serve	286	359
eggs	584	426
salmon	931	845
would recommend	494	569
regular	248	533
mouth	802	787
plus	393	294
eaten	471	799
nothing	493	196
extremely	801	560
don	48	40
especially	136	171
hot dog	1030	854
pulled	930	742
seafood	785	377
later	636	685
hungry	800	707
crowd	105	270
looked	929	886
definitely	45	42
nice place	492	821
patio	115	142
clean	799	496
occasion	928	910
notch	461	793
wow	723	641
fact	537	668
shop	1029	399
walking	536	967
selection	67	48
shot	689	1016
overpriced	324	564
show	112	454
long wait	934	951
cheap	372	216
watch	213	342
bring	245	259
large	173	170
corner	688	878
good service	456	444
fine	583	556
enjoyed	188	289
staff	81	35
toast	925	435
list	156	173
slow	400	401
based	924	964
food drinks	490	898
with	470	884
weekends	371	341
enough	176	160
here	53	53
only	687	896
stand	307	774
black	686	622
rich	969	642
money	323	537
chipotle	1028	1015
rice	685	300
local	298	244
loved	380	228
do	786	895
hit	684	492
great spot	721	828
beat	683	654
michigan	922	723
de	921	653
stop	436	205
hot chocolate	1027	949
truly	1054	750
go to	581	664
joint	682	461
feels	796	948
ones	955	856
perfection	920	1014
despite	489	1034
reasonably priced	580	531
late night	378	385
years	227	352
chips	919	436
place go	206	231
gem	795	592
scene	242	840
course	606	365
pretzel	918	1007
sandwich	226	144
morning	794	613
twice	793	947
bad	172	161
stuff	792	632
wish	469	474
hype	917	935
grab	278	330
told	528	765
restaurants	504	241
available	487	526
bars	98	507
set	791	862
place chicago	812	1038
bit pricey	578	976
fair	1025	945
cocktail	100	473
roasted	790	963
seat	243	583
cocktails	31	249
see	63	165
decided	678	768
college	916	1068
parking	277	384
tender	915	706
close	369	305
noodles	1024	568
flavor	433	206
packed	577	315
said	368	405
visiting	827	841
lots	225	277
review	927	735
please	677	776
ve ever	370	389
won	367	340
yogurt	1023	1058
probably	205	215
across	914	598
meal	251	98
affordable	1026	610
we	787	594
recently	676	605
10	366	283
sausage	342	538
attention	913	986
however	204	232
job	675	786
french	763	260
key	671	1012
visited	284	871
20	545	494
come	43	54
kitchen	911	577
hours	401	333
fried	306	176
last	486	296
little pricey	432	1033
restaurant	76	29
many	171	99
taking	674	975
la	711	743
quiet	223	1013
amazing	41	24
etc	430	681
else	426	314
games	365	394
let	260	407
whole	322	393
asked	673	877
comes	783	344
otherwise	575	1006
liked	672	483
great selection	576	785
space	89	188
gone	467	913
wall	768	800
had	321	322
whatever	815	920
walk	572	318
tons	841	966
simply	910	698
away	224	267
italian food	1019	889
table	110	84
crispy	1018	469
along	398	550
happy hour	571	574
turkey	1017	820
better	114	58
beef	222	159
addition	781	740
west	755	695
due	753	928
tiny	670	1005
quickly	485	482
beer	27	26
much	97	59
seasoned	908	1011
treat	1016	563
tv	780	1010
expected	1015	676
lovely	907	719
mary	669	795
bbq	1014	258
life	668	618
lived	867	1063
mind	427	520
pie	963	390
orange	779	932
ordering	635	506
pulled pork	906	969
doesn	364	375
coming back	558	794
catch	488	987
chili	1076	982
attentive	424	358
deep dish	1074	250
would definitely	567	970
great service	363	321
look	320	373
solid	484	308
sauce	603	113
bill	666	1057
cash	362	515
value	665	609
choices	566	481
weren	851	1053
cannot	681	1059
fun	24	64
loop	778	299
wait staff	905	780
service great	431	361
have	1011	1067
almost	319	336
staff friendly	904	573
is	903	567
sushi	62	106
non	949	809
rooftop	86	944
middle	663	675
evening	179	505
upscale	483	741
in	169	237
ready	902	831
breakfast	482	102
cuisine	777	617
different	241	155
delicious food	633	753
open	174	184
suggest	429	796
make	66	41
bowl	901	460
check	133	230
food	4	2
delicious	68	18
pad	1009	839
split	950	971
plates	480	410
fill	1008	1009
mexican food	1007	680
would	39	31
week	360	263
fairly	776	813
outside	160	181
finish	775	1056
pho	1006	956
slightly	447	770
one best	168	239
again	216	287
drink	16	79
hang	276	465
hand	660	994
average	281	339
fruit	1005	830
garlic	900	630
quality food	899	993
great location	661	876
tuna	564	892
totally	359	604
hear	439	872
beer list	563	643
butter	774	480
early	186	278
noodle	898	1004
off	897	868
try	138	28
ingredients	715	345
well	44	30
food delicious	659	652
know	185	123
thought	773	438
person	496	540
priced	144	240
without	357	288
juicy	860	792
hot dogs	1031	977
the	356	334
spend	896	756
great place	42	81
left	561	572
seasonal	772	909
things	202	282
watching	244	584
outdoor	120	243
less	771	431
knowledgeable	559	696
enjoy	92	127
half	318	325
rest	770	852
front	422	450
lincoln park	894	918
touch	893	1026
yes	658	501
yet	317	395
apple	657	844
dining	655	198
generous	892	931
cut	891	775
die for	656	539
fried chicken	849	907
cup	937	647
point	428	487
seems	479	479
recommended	421	519
simple	574	591
add	654	608
location	158	86
easy	315	368
sweet	275	158
definitely worth	667	781
extensive	767	851
surprised	766	663
gave	557	718
real	314	402
customers	1003	1066
around	84	105
also great	653	686
big	146	112
couple	420	408
it worth	556	908
pricey	104	248
dark	358	549
game	54	276
top notch	573	853
outdoor seating	419	672
need	203	221
world	764	503
bit	72	67
highly	397	208
disappointed	313	351
wings	274	406
meat	513	162
lincoln	889	530
helpful	890	525
onion	888	728
cool	35	168
you re	60	72
50	651	1065
serves	1002	1025
server	273	369
either	355	477
always	33	17
popular	418	674
served	312	301
nice	12	20
soft	887	739
italian	762	154
seating	221	169
right	145	91
old	46	197
often	554	357
deal	886	447
people	30	47
absolutely	553	329
highly recommend	552	346
date night	417	984
play	375	655
tvs	477	1055
decor	47	122
lobster	885	755
you re looking	354	712
trendy	311	992
unless	585	1017
love place	310	312
sauces	884	760
slice	883	589
mood	882	1003
for	415	286
incredible	309	462
phenomenal	881	1002
avoid	551	894
ice	989	291
creative	476	662
wine list	880	955
everything	308	87
expensive	80	279
going	111	82
truffle	649	916
three	475	386
price	239	116
be	550	711
run	761	651
business	648	603
intimate	353	923
corn	879	875
view	121	586
beer selection	183	255
go back	182	266
although	474	320
amazing food	760	860
pasta	974	420
stay	346	806
super	103	132
noisy	878	930
on	351	562
about	758	929
ok	201	273
diner	1001	418
anything	219	257
oh	549	424
of	472	915
ribs	757	571
delish	756	983
favorite	58	34
shrimp	877	392
always great	413	791
dinner	61	70
old school	548	922
beans	871	646
afternoon	834	763
donuts	869	626
mixed	754	874
every time	350	475
curry	1000	732
pastries	999	943
prices	147	115
food good	96	183
plenty	247	432
al	305	1064
craft	425	590
going back	909	933
down	349	443
small	119	71
lakeview	998	968
weather	404	773
even though	412	629
parties	547	1024
sports	272	449
rolls	546	313
live music	167	885
impressed	411	679
bar food	199	582
tasting	752	607
aren	874	670
friends	23	69
there	51	75
fast	875	191
sides	539	660
start	544	500
don know	751	825
low	270	669
homemade	997	627
lou	996	962
music	15	118
it always	995	1023
happy	269	220
head	646	767
medium	1061	1072
north	218	316
offer	268	328
anywhere	645	838
great experience	750	1054
but	409	486
back	26	27
delivery	872	453
bun	643	843
line	108	189
trying	408	367
true	560	924
eat	181	60
also	28	15
rush	870	902
made	95	101
portions	641	203
romantic	267	961
places	94	119
service good	542	597
food service	579	611
inside	134	225
potato	538	455
fries	180	107
up	238	348
us	161	120
byob	994	272
whiskey	640	807
cake	638	356
piece	1020	861
minutes	468	338
called	637	1022
say	197	141
atmosphere great	541	914
instead	652	717
outdoor patio	466	837
sometimes	478	383
ordered	198	131
classic	407	355
taste	348	157
reservations	237	555
best	10	9
really like	953	826
deep	868	212
dog	895	414
single	747	1050
tasty	166	92
walked	629	859
home	416	235
mediocre	634	1049
cafe	1010	372
trip	586	665
cream	866	246
traditional	639	529
variety	746	285
highly recommended	745	1048
tip	632	727
green	141	543
menu	56	21
saturday	196	412
club	195	766
special	153	147
you	22	25
incredibly	555	639
roll	347	464
ever had	406	468
get early	386	965
star	463	440
monday	993	921
felt	462	638
prepared	414	292
town	93	194
chance	744	1047
reservation	345	430
pizzas	832	544
weekend	271	324
meals	873	722
decent	170	149
ago	304	960
wife	749	738
lot	128	137
food excellent	630	829
quite	178	207
daily	1073	726
cooked	628	374
portion	742	552
thai food	992	1001
came	280	139
go wrong	501	433
wine	295	124
at	465	942
fresh	460	78
baked	991	883
original	863	747
